0:0:0:0:0:0:0:1 - - [25/Dec/2022:10:24:16 +0300] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:10:24:17 +0300] "GET /login HTTP/1.1" 200 1158
0:0:0:0:0:0:0:1 - - [25/Dec/2022:10:24:17 +0300] "GET /favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:10:24:17 +0300] "GET /login HTTP/1.1" 200 1158
0:0:0:0:0:0:0:1 - - [25/Dec/2022:10:24:21 +0300] "POST /doLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:10:24:21 +0300] "GET /login?error HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [25/Dec/2022:10:24:21 +0300] "GET /favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:10:24:21 +0300] "GET /login HTTP/1.1" 200 1158
0:0:0:0:0:0:0:1 - - [25/Dec/2022:10:24:22 +0300] "GET /signup HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [25/Dec/2022:10:24:22 +0300] "GET /favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:10:24:22 +0300] "GET /login HTTP/1.1" 200 1158
0:0:0:0:0:0:0:1 - - [25/Dec/2022:10:24:27 +0300] "POST /user/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:10:24:27 +0300] "GET /login HTTP/1.1" 200 1158
0:0:0:0:0:0:0:1 - - [25/Dec/2022:10:24:27 +0300] "GET /favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:10:24:27 +0300] "GET /login HTTP/1.1" 200 1158
